survey_year,device_used,birth_year,gender,marital_status,living_place,income,finish_that_begin,hard_worker,diligent,social_gather,close_friends,volunteers,often_votes,political_leaning,siblings,religious
2018,95,1982,2,1,1,5,1,2,2,6,3,1,2,3,3,2
2016,3,1982,2,1,1,10,2,2,2,4,3,1,4,3,10,4
2017,2,1979,1,3,3,7,2,3,2,7,2,1,1,2,7,2
2018,1,1980,2,3,1,8,1,1,2,6,2,2,4,2,4,4
2016,1,1978,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,95,1980,2,5,1,3,2,3,2,6,3,1,3,3,4,4
2017,2,1981,2,5,1,3,1,1,4,6,2,2,4,3,5,4
2016,1,1982,1,5,1,8,2,3,4,6,3,2,1,4,3,4
2018,2,1981,2,3,1,10,2,2,3,5,2,2,2,2,3,2
2017,1,1982,1,3,2,8,2,1,3,7,2,1,1,4,1,3
2016,2,1983,1,1,1,11,2,1,2,6,3,2,3,4,1,1
2016,1,1978,1,1,1,9,4,2,4,6,4,2,2,2,3,4
2016,1,1981,2,1,1,6,2,2,2,2,2,1,1,3,3,3
2018,1,1981,2,1,2,9,3,1,2,5,2,2,2,5,1,9
2017,1,1980,1,5,1,3,4,3,2,2,2,1,4,3,1,9
2017,1,1977,1,1,1,6,3,3,3,5,3,1,4,4,1,2
2017,2,1978,2,5,1,1,2,2,2,3,2,1,2,4,2,4
2018,2,1977,2,1,1,6,NA,NA,1,6,3,1,4,5,3,2
2017,1,1979,1,1,1,8,2,2,2,5,5,1,2,2,5,4
2017,2,1978,1,5,1,1,2,2,2,4,2,2,1,2,997,2
2017,2,1982,2,1,3,1,3,2,2,6,3,1,4,3,1,1
2016,2,1982,1,5,1,5,1,1,2,5,3,2,2,3,1,5
2017,3,1978,2,4,1,8,2,2,1,6,2,1,1,3,1,3
2017,3,1980,2,1,1,9,4,1,1,1,1,NA,NA,NA,2,9
2016,95,1977,2,1,1,11,2,2,2,6,2,2,4,1,5,4
2018,2,1978,1,4,1,5,2,2,1,7,3,1,1,4,6,2
2017,2,1977,1,5,2,6,2,3,2,6,3,1,2,2,6,2
2018,2,1978,1,5,1,9,3,2,3,5,3,2,2,3,1,1
2016,2,1979,1,5,6,1,3,3,3,5,2,1,2,2,2,9
2017,1,1980,1,1,1,11,1,2,2,6,3,2,1,3,8,4
2017,1,1978,1,1,1,10,2,3,3,4,3,2,2,2,2,4
2018,1,1980,1,3,1,9,2,2,2,6,2,1,3,3,4,2
2017,2,1977,1,1,3,1,3,2,4,2,1,NA,NA,NA,3,4
2016,2,1977,1,3,1,9,4,1,1,6,4,1,2,3,1,4
2016,1,1979,2,5,1,9,1,1,1,6,3,2,4,4,997,4
2017,1,1980,1,5,1,9,5,4,4,6,3,2,4,4,5,1
2016,95,1978,2,3,1,8,2,1,1,6,5,2,1,3,4,3
2018,2,1980,2,1,1,10,2,2,2,3,3,2,3,3,4,4
2016,1,1978,2,1,1,11,2,2,2,6,3,2,3,2,1,3
2016,1,1980,2,1,1,10,4,3,2,6,4,1,3,4,1,1
2017,1,1980,1,3,1,10,2,2,2,4,2,2,1,3,3,3
2016,95,1976,2,1,1,8,1,2,2,4,3,2,2,2,1,3
2017,1,1979,2,3,2,8,1,1,1,5,3,2,4,2,3,4
2018,2,1980,2,3,1,5,3,2,3,6,2,1,2,4,2,2
2016,2,1979,2,4,2,1,2,2,2,6,4,1,3,3,4,3
